


################################################################################
################################################################################
			Nova Captura
2017-10-04 14:57:18.589489
2017-10-04 14:57:18.620491
2017-10-04 14:57:18.652493
2017-10-04 14:57:18.687495
2017-10-04 14:57:18.718496
2017-10-04 14:57:18.752498
2017-10-04 14:57:18.787500
2017-10-04 14:57:18.818502
2017-10-04 14:57:18.852504
2017-10-04 14:57:18.891506
2017-10-04 14:57:18.918508
2017-10-04 14:57:18.952510
2017-10-04 14:57:18.990512
2017-10-04 14:57:19.018514
2017-10-04 14:57:19.052516
2017-10-04 14:57:19.092518
2017-10-04 14:57:19.119519
2017-10-04 14:57:19.152521
2017-10-04 14:57:19.187523
2017-10-04 14:57:19.219525
2017-10-04 14:57:19.252527
2017-10-04 14:57:19.287529
2017-10-04 14:57:19.319531
2017-10-04 14:57:19.360533
2017-10-04 14:57:19.389535
2017-10-04 14:57:19.420537
2017-10-04 14:57:19.453539
2017-10-04 14:57:19.487540
2017-10-04 14:57:19.520542
2017-10-04 14:57:19.553544
2017-10-04 14:57:19.588546
2017-10-04 14:57:19.620548
2017-10-04 14:57:19.654550
2017-10-04 14:57:19.686552
2017-10-04 14:57:19.720554
2017-10-04 14:57:19.753556
2017-10-04 14:57:19.793558
2017-10-04 14:57:19.821560
2017-10-04 14:57:19.853561
2017-10-04 14:57:19.889563
2017-10-04 14:57:19.920565
2017-10-04 14:57:19.954567
2017-10-04 14:57:19.987569
2017-10-04 14:57:20.020571
2017-10-04 14:57:20.053573
2017-10-04 14:57:20.088575
2017-10-04 14:57:20.121577
2017-10-04 14:57:20.153579
2017-10-04 14:57:20.193581
2017-10-04 14:57:20.222583
2017-10-04 14:57:20.255584
2017-10-04 14:57:20.294587
2017-10-04 14:57:20.321588
2017-10-04 14:57:20.354590
2017-10-04 14:57:20.394592
2017-10-04 14:57:20.420594
2017-10-04 14:57:20.453596
2017-10-04 14:57:20.488598
2017-10-04 14:57:20.520600
2017-10-04 14:57:20.554602
2017-10-04 14:57:20.588603
2017-10-04 14:57:20.620605
2017-10-04 14:57:20.654607
2017-10-04 14:57:20.687609
2017-10-04 14:57:20.720611
2017-10-04 14:57:20.754613
2017-10-04 14:57:20.796615
2017-10-04 14:57:20.820617
2017-10-04 14:57:20.854619
2017-10-04 14:57:20.893621
2017-10-04 14:57:20.921622
2017-10-04 14:57:20.954624
2017-10-04 14:57:20.989626
2017-10-04 14:57:21.020628
2017-10-04 14:57:21.054630
2017-10-04 14:57:21.089632
2017-10-04 14:57:21.121634
2017-10-04 14:57:21.154636
2017-10-04 14:57:21.188638
2017-10-04 14:57:21.221640
2017-10-04 14:57:21.254642
2017-10-04 14:57:21.293644
2017-10-04 14:57:21.321645
2017-10-04 14:57:21.354647
2017-10-04 14:57:21.391649
2017-10-04 14:57:21.421651
2017-10-04 14:57:21.454653
2017-10-04 14:57:21.491655
2017-10-04 14:57:21.521657
2017-10-04 14:57:21.554659
2017-10-04 14:57:21.588661
